barcode	well	agent	concentration	cell_line
20160606_MH_02	J03	D_3	0.0010833	CL_4
20160606_MH_02	K03	D_2	0.31623	CL_5
20160606_MH_02	L03	D_3	0.0010833	CL_5
20160606_MH_02	M03	D_2	0.31623	CL_6
20160606_MH_02	N03	D_3	0.0010833	CL_6
20160606_MH_02	C04	D_4	10	CL_1
20160606_MH_02	D04	D_1	0.31623	CL_1
20160606_MH_02	E04	D_4	10	CL_2
20160606_MH_02	F04	D_1	0.31623	CL_2
20160606_MH_02	G04	D_4	10	CL_3
20160606_MH_02	H04	D_1	0.31623	CL_3
20160606_MH_02	I04	D_4	10	CL_4
20160606_MH_02	J04	D_1	0.31623	CL_4
20160606_MH_02	K04	D_4	10	CL_5
20160606_MH_02	L04	D_1	0.31623	CL_5
20160606_MH_02	M04	D_4	10	CL_6
20160606_MH_02	N04	D_1	0.31623	CL_6
20160606_MH_02	C05	D_3	0.031667	CL_1
20160606_MH_02	D05	D_4	0.0010833	CL_1
20160606_MH_02	E05	D_3	0.031667	CL_2
20160606_MH_02	F05	D_4	0.0010833	CL_2
20160606_MH_02	G05	D_3	0.031667	CL_3
20160606_MH_02	H05	D_4	0.0010833	CL_3
20160606_MH_02	I05	D_3	0.031667	CL_4
20160606_MH_02	J05	D_4	0.0010833	CL_4
20160606_MH_02	K05	D_3	0.031667	CL_5
20160606_MH_02	L05	D_4	0.0010833	CL_5
20160606_MH_02	M05	D_3	0.031667	CL_6
20160606_MH_02	N05	D_4	0.0010833	CL_6
20160606_MH_02	C06	D_1	0.1	CL_1
20160606_MH_02	D06	D_3	0.0033333	CL_1
20160606_MH_02	E06	D_1	0.1	CL_2
20160606_MH_02	F06	D_3	0.0033333	CL_2
20160606_MH_02	G06	D_1	0.1	CL_3
20160606_MH_02	H06	D_3	0.0033333	CL_3
20160606_MH_02	I06	D_1	0.1	CL_4
20160606_MH_02	J06	D_3	0.0033333	CL_4
20160606_MH_02	K06	D_1	0.1	CL_5
20160606_MH_02	L06	D_3	0.0033333	CL_5
20160606_MH_02	M06	D_1	0.1	CL_6
20160606_MH_02	N06	D_3	0.0033333	CL_6
20160606_MH_02	C07	D_1	1	CL_1
20160606_MH_02	D07	D_4	0.0033333	CL_1
20160606_MH_02	E07	D_1	1	CL_2
20160606_MH_02	F07	D_4	0.0033333	CL_2
20160606_MH_02	G07	D_1	1	CL_3
20160606_MH_02	H07	D_4	0.0033333	CL_3
20160606_MH_02	I07	D_1	1	CL_4
20160606_MH_02	J07	D_4	0.0033333	CL_4
20160606_MH_02	K07	D_1	1	CL_5
20160606_MH_02	L07	D_4	0.0033333	CL_5
20160606_MH_02	M07	D_1	1	CL_6
20160606_MH_02	N07	D_4	0.0033333	CL_6
20160606_MH_02	C08	D_2	0.031667	CL_1
20160606_MH_02	D08	-	0	CL_1
20160606_MH_02	E08	D_2	0.031667	CL_2
20160606_MH_02	F08	-	0	CL_2
20160606_MH_02	G08	D_2	0.031667	CL_3
20160606_MH_02	H08	-	0	CL_3
20160606_MH_02	I08	D_2	0.031667	CL_4
20160606_MH_02	J08	-	0	CL_4
20160606_MH_02	K08	D_2	0.031667	CL_5
20160606_MH_02	L08	-	0	CL_5
20160606_MH_02	M08	D_2	0.031667	CL_6
20160606_MH_02	N08	-	0	CL_6
20160606_MH_02	C09	D_1	0.031667	CL_1
20160606_MH_02	D09	D_4	0.1	CL_1
20160606_MH_02	E09	D_1	0.031667	CL_2
20160606_MH_02	F09	D_4	0.1	CL_2
20160606_MH_02	G09	D_1	0.031667	CL_3
20160606_MH_02	H09	D_4	0.1	CL_3
20160606_MH_02	I09	D_1	0.031667	CL_4
20160606_MH_02	J09	D_4	0.1	CL_4
20160606_MH_02	K09	D_1	0.031667	CL_5
20160606_MH_02	L09	D_4	0.1	CL_5
20160606_MH_02	M09	D_1	0.031667	CL_6
20160606_MH_02	N09	D_4	0.1	CL_6
20160606_MH_02	C10	D_3	10	CL_1
20160606_MH_02	D10	D_1	3.1623	CL_1
20160606_MH_02	E10	D_3	10	CL_2
20160606_MH_02	F10	D_1	3.1623	CL_2
20160606_MH_02	G10	D_3	10	CL_3
20160606_MH_02	H10	D_1	3.1623	CL_3
20160606_MH_02	I10	D_3	10	CL_4
20160606_MH_02	J10	D_1	3.1623	CL_4
20160606_MH_02	K10	D_3	10	CL_5
20160606_MH_02	L10	D_1	3.1623	CL_5
20160606_MH_02	M10	D_3	10	CL_6
20160606_MH_02	N10	D_1	3.1623	CL_6
20160606_MH_02	C11	D_1	10	CL_1
20160606_MH_02	D11	D_1	0.0010833	CL_1
20160606_MH_02	E11	D_1	10	CL_2
20160606_MH_02	F11	D_1	0.0010833	CL_2
20160606_MH_02	G11	D_1	10	CL_3
20160606_MH_02	H11	D_1	0.0010833	CL_3
20160606_MH_02	I11	D_1	10	CL_4
20160606_MH_02	J11	D_1	0.0010833	CL_4
20160606_MH_02	K11	D_1	10	CL_5
20160606_MH_02	L11	D_1	0.0010833	CL_5
20160606_MH_02	M11	D_1	10	CL_6
20160606_MH_02	N11	D_1	0.0010833	CL_6
20160606_MH_02	C12	D_2	3.1623	CL_1
20160606_MH_02	D12	D_2	0.0033333	CL_1
20160606_MH_02	E12	D_2	3.1623	CL_2
20160606_MH_02	F12	D_2	0.0033333	CL_2
20160606_MH_02	G12	D_2	3.1623	CL_3
20160606_MH_02	H12	D_2	0.0033333	CL_3
20160606_MH_02	I12	D_2	3.1623	CL_4
20160606_MH_02	J12	D_2	0.0033333	CL_4
20160606_MH_02	K12	D_2	3.1623	CL_5
20160606_MH_02	L12	D_2	0.0033333	CL_5
20160606_MH_02	M12	D_2	3.1623	CL_6
20160606_MH_02	N12	D_2	0.0033333	CL_6
20160606_MH_02	C13	D_3	0.1	CL_1
20160606_MH_02	D13	D_3	1	CL_1
20160606_MH_02	E13	D_3	0.1	CL_2
20160606_MH_02	F13	D_3	1	CL_2
20160606_MH_02	G13	D_3	0.1	CL_3
20160606_MH_02	H13	D_3	1	CL_3
20160606_MH_02	I13	D_3	0.1	CL_4
20160606_MH_02	J13	D_3	1	CL_4
20160606_MH_02	K13	D_3	0.1	CL_5
20160606_MH_02	L13	D_3	1	CL_5
20160606_MH_02	M13	D_3	0.1	CL_6
20160606_MH_02	N13	D_3	1	CL_6
20160606_MH_02	C14	D_2	0.0010833	CL_1
20160606_MH_02	D14	D_2	10	CL_1
20160606_MH_02	E14	D_2	0.0010833	CL_2
20160606_MH_02	F14	D_2	10	CL_2
20160606_MH_02	G14	D_2	0.0010833	CL_3
20160606_MH_02	H14	D_2	10	CL_3
20160606_MH_02	I14	D_2	0.0010833	CL_4
20160606_MH_02	J14	D_2	10	CL_4
20160606_MH_02	K14	D_2	0.0010833	CL_5
20160606_MH_02	L14	D_2	10	CL_5
20160606_MH_02	M14	D_2	0.0010833	CL_6
20160606_MH_02	N14	D_2	10	CL_6
20160606_MH_02	C15	D_2	1	CL_1
20160606_MH_02	D15	D_2	0.01	CL_1
20160606_MH_02	E15	D_2	1	CL_2
20160606_MH_02	F15	D_2	0.01	CL_2
20160606_MH_02	G15	D_2	1	CL_3
20160606_MH_02	H15	D_2	0.01	CL_3
20160606_MH_02	I15	D_2	1	CL_4
20160606_MH_02	J15	D_2	0.01	CL_4
20160606_MH_02	K15	D_2	1	CL_5
20160606_MH_02	L15	D_2	0.01	CL_5
20160606_MH_02	M15	D_2	1	CL_6
20160606_MH_02	N15	D_2	0.01	CL_6
20160606_MH_02	C16	-	0	CL_1
20160606_MH_02	D16	D_3	3.1623	CL_1
20160606_MH_02	E16	-	0	CL_2
20160606_MH_02	F16	D_3	3.1623	CL_2
20160606_MH_02	G16	-	0	CL_3
20160606_MH_02	H16	D_3	3.1623	CL_3
20160606_MH_02	I16	-	0	CL_4
20160606_MH_02	J16	D_3	3.1623	CL_4
20160606_MH_02	K16	-	0	CL_5
20160606_MH_02	L16	D_3	3.1623	CL_5
20160606_MH_02	M16	-	0	CL_6
20160606_MH_02	N16	D_3	3.1623	CL_6
20160606_MH_02	C17	D_4	0.31623	CL_1
20160606_MH_02	D17	D_1	0.0033333	CL_1
20160606_MH_02	E17	D_4	0.31623	CL_2
20160606_MH_02	F17	D_1	0.0033333	CL_2
20160606_MH_02	G17	D_4	0.31623	CL_3
20160606_MH_02	H17	D_1	0.0033333	CL_3
20160606_MH_02	I17	D_4	0.31623	CL_4
20160606_MH_02	J17	D_1	0.0033333	CL_4
20160606_MH_02	K17	D_4	0.31623	CL_5
20160606_MH_02	L17	D_1	0.0033333	CL_5
20160606_MH_02	M17	D_4	0.31623	CL_6
20160606_MH_02	N17	D_1	0.0033333	CL_6
20160606_MH_02	C18	-	0	CL_1
20160606_MH_02	D18	-	0	CL_1
20160606_MH_02	E18	-	0	CL_2
20160606_MH_02	F18	-	0	CL_2
20160606_MH_02	G18	-	0	CL_3
20160606_MH_02	H18	-	0	CL_3
20160606_MH_02	I18	-	0	CL_4
20160606_MH_02	J18	-	0	CL_4
20160606_MH_02	K18	-	0	CL_5
20160606_MH_02	L18	-	0	CL_5
20160606_MH_02	M18	-	0	CL_6
20160606_MH_02	N18	-	0	CL_6
20160606_MH_02	C19	-	0	CL_1
20160606_MH_02	D19	D_4	0.01	CL_1
20160606_MH_02	E19	-	0	CL_2
20160606_MH_02	F19	D_4	0.01	CL_2
20160606_MH_02	G19	-	0	CL_3
20160606_MH_02	H19	D_4	0.01	CL_3
20160606_MH_02	I19	-	0	CL_4
20160606_MH_02	J19	D_4	0.01	CL_4
20160606_MH_02	K19	-	0	CL_5
20160606_MH_02	L19	D_4	0.01	CL_5
20160606_MH_02	M19	-	0	CL_6
20160606_MH_02	N19	D_4	0.01	CL_6
20160606_MH_02	C20	-	0	CL_1
20160606_MH_02	D20	D_4	1	CL_1
20160606_MH_02	E20	-	0	CL_2
20160606_MH_02	F20	D_4	1	CL_2
20160606_MH_02	G20	-	0	CL_3
20160606_MH_02	H20	D_4	1	CL_3
20160606_MH_02	I20	-	0	CL_4
20160606_MH_02	J20	D_4	1	CL_4
20160606_MH_02	K20	-	0	CL_5
20160606_MH_02	L20	D_4	1	CL_5
20160606_MH_02	M20	-	0	CL_6
20160606_MH_02	N20	D_4	1	CL_6
20160606_MH_02	C21	D_2	0.1	CL_1
20160606_MH_02	D21	D_3	0.01	CL_1
20160606_MH_02	E21	D_2	0.1	CL_2
20160606_MH_02	F21	D_3	0.01	CL_2
20160606_MH_02	G21	D_2	0.1	CL_3
20160606_MH_02	H21	D_3	0.01	CL_3
20160606_MH_02	I21	D_2	0.1	CL_4
20160606_MH_02	J21	D_3	0.01	CL_4
20160606_MH_02	K21	D_2	0.1	CL_5
20160606_MH_02	L21	D_3	0.01	CL_5
20160606_MH_02	M21	D_2	0.1	CL_6
20160606_MH_02	N21	D_3	0.01	CL_6
20160606_MH_02	C22	D_4	3.1623	CL_1
20160606_MH_02	D22	D_3	0.31623	CL_1
20160606_MH_02	E22	D_4	3.1623	CL_2
20160606_MH_02	F22	D_3	0.31623	CL_2
20160606_MH_02	G22	D_4	3.1623	CL_3
20160606_MH_02	H22	D_3	0.31623	CL_3
20160606_MH_02	I22	D_4	3.1623	CL_4
20160606_MH_02	J22	D_3	0.31623	CL_4
20160606_MH_02	K22	D_4	3.1623	CL_5
20160606_MH_02	L22	D_3	0.31623	CL_5
20160606_MH_02	M22	D_4	3.1623	CL_6
20160606_MH_02	N22	D_3	0.31623	CL_6
20160606_MH_02	C23	D_4	0.031667	CL_1
20160606_MH_02	D23	-	0	CL_1
20160606_MH_02	E23	D_4	0.031667	CL_2
20160606_MH_02	F23	-	0	CL_2
20160606_MH_02	G23	D_4	0.031667	CL_3
20160606_MH_02	H23	-	0	CL_3
20160606_MH_02	I23	D_4	0.031667	CL_4
20160606_MH_02	J23	-	0	CL_4
20160606_MH_02	K23	D_4	0.031667	CL_5
20160606_MH_02	L23	-	0	CL_5
20160606_MH_02	M23	D_4	0.031667	CL_6
20160606_MH_02	N23	-	0	CL_6
20160606_MH_03	C02	D_1	0.01	CL_1
20160606_MH_03	D02	-	0	CL_1
20160606_MH_03	E02	D_1	0.01	CL_2
20160606_MH_03	F02	-	0	CL_2
20160606_MH_03	G02	D_1	0.01	CL_3
20160606_MH_03	H02	-	0	CL_3
20160606_MH_03	I02	D_1	0.01	CL_4
20160606_MH_03	J02	-	0	CL_4
20160606_MH_03	K02	D_1	0.01	CL_5
20160606_MH_03	L02	-	0	CL_5
20160606_MH_03	M02	D_1	0.01	CL_6
20160606_MH_03	N02	-	0	CL_6
20160606_MH_03	C03	D_2	0.31623	CL_1
20160606_MH_03	D03	D_3	0.0010833	CL_1
20160606_MH_03	E03	D_2	0.31623	CL_2
20160606_MH_03	F03	D_3	0.0010833	CL_2
20160606_MH_03	G03	D_2	0.31623	CL_3
20160606_MH_03	H03	D_3	0.0010833	CL_3
20160606_MH_03	I03	D_2	0.31623	CL_4
20160606_MH_03	J03	D_3	0.0010833	CL_4
20160606_MH_03	K03	D_2	0.31623	CL_5
20160606_MH_03	L03	D_3	0.0010833	CL_5
20160606_MH_03	M03	D_2	0.31623	CL_6
20160606_MH_03	N03	D_3	0.0010833	CL_6
20160606_MH_03	C04	D_4	10	CL_1
20160606_MH_03	D04	D_1	0.31623	CL_1
20160606_MH_03	E04	D_4	10	CL_2
20160606_MH_03	F04	D_1	0.31623	CL_2
20160606_MH_03	G04	D_4	10	CL_3
20160606_MH_03	H04	D_1	0.31623	CL_3
20160606_MH_03	I04	D_4	10	CL_4
20160606_MH_03	J04	D_1	0.31623	CL_4
20160606_MH_03	K04	D_4	10	CL_5
20160606_MH_03	L04	D_1	0.31623	CL_5
20160606_MH_03	M04	D_4	10	CL_6
20160606_MH_03	N04	D_1	0.31623	CL_6
20160606_MH_03	C05	D_3	0.031667	CL_1
20160606_MH_03	D05	D_4	0.0010833	CL_1
20160606_MH_03	E05	D_3	0.031667	CL_2
20160606_MH_03	F05	D_4	0.0010833	CL_2
20160606_MH_03	G05	D_3	0.031667	CL_3
20160606_MH_03	H05	D_4	0.0010833	CL_3
20160606_MH_03	I05	D_3	0.031667	CL_4
20160606_MH_03	J05	D_4	0.0010833	CL_4
20160606_MH_03	K05	D_3	0.031667	CL_5
20160606_MH_03	L05	D_4	0.0010833	CL_5
20160606_MH_03	M05	D_3	0.031667	CL_6
20160606_MH_03	N05	D_4	0.0010833	CL_6
20160606_MH_03	C06	D_1	0.1	CL_1
20160606_MH_03	D06	D_3	0.0033333	CL_1
20160606_MH_03	E06	D_1	0.1	CL_2
