agent,barcode,cell_line,concentration,identifier,role,timepoint,well
,041018_1,CL_1,0.0,,,time0_ctrl,F22
,041018_1,,0.0,,,time0_ctrl,F23
,041018_1,,0.0,,,time0_ctrl,F24
,041018_1,,0.0,,,time0_ctrl,G01
,041018_1,,0.0,,,time0_ctrl,G02
,041018_1,CL_1,0.0,,,time0_ctrl,G03
,041018_1,CL_1,0.0,,,time0_ctrl,G04
,041018_1,CL_1,0.0,,,time0_ctrl,G05
,041018_1,CL_1,0.0,,,time0_ctrl,G06
,041018_1,CL_1,0.0,,,time0_ctrl,G07
,041018_1,CL_1,0.0,,,time0_ctrl,G08
,041018_1,CL_1,0.0,,,time0_ctrl,G09
,041018_1,CL_1,0.0,,,time0_ctrl,G10
,041018_1,CL_1,0.0,,,time0_ctrl,G11
,041018_1,CL_1,0.0,,,time0_ctrl,G12
,041018_1,CL_1,0.0,,,time0_ctrl,G13
,041018_1,CL_1,0.0,,,time0_ctrl,G14
,041018_1,CL_1,0.0,,,time0_ctrl,G15
,041018_1,CL_1,0.0,,,time0_ctrl,G16
,041018_1,CL_1,0.0,,,time0_ctrl,G17
,041018_1,CL_1,0.0,,,time0_ctrl,G18
,041018_1,CL_1,0.0,,,time0_ctrl,G19
,041018_1,CL_1,0.0,,,time0_ctrl,G20
,041018_1,CL_1,0.0,,,time0_ctrl,G21
,041018_1,CL_1,0.0,,,time0_ctrl,G22
,041018_1,,0.0,,,time0_ctrl,G23
,041018_1,,0.0,,,time0_ctrl,G24
,041018_1,,0.0,,,time0_ctrl,H01
,041018_1,,0.0,,,time0_ctrl,H02
,041018_1,CL_1,0.0,,,time0_ctrl,H03
,041018_1,CL_1,0.0,,,time0_ctrl,H04
,041018_1,CL_1,0.0,,,time0_ctrl,H05
,041018_1,CL_1,0.0,,,time0_ctrl,H06
,041018_1,CL_1,0.0,,,time0_ctrl,H07
,041018_1,CL_1,0.0,,,time0_ctrl,H08
,041018_1,CL_1,0.0,,,time0_ctrl,H09
,041018_1,CL_1,0.0,,,time0_ctrl,H10
,041018_1,CL_1,0.0,,,time0_ctrl,H11
,041018_1,CL_1,0.0,,,time0_ctrl,H12
,041018_1,CL_1,0.0,,,time0_ctrl,H13
,041018_1,CL_1,0.0,,,time0_ctrl,H14
,041018_1,CL_1,0.0,,,time0_ctrl,H15
,041018_1,CL_1,0.0,,,time0_ctrl,H16
,041018_1,CL_1,0.0,,,time0_ctrl,H17
,041018_1,CL_1,0.0,,,time0_ctrl,H18
,041018_1,CL_1,0.0,,,time0_ctrl,H19
,041018_1,CL_1,0.0,,,time0_ctrl,H20
,041018_1,CL_1,0.0,,,time0_ctrl,H21
,041018_1,CL_1,0.0,,,time0_ctrl,H22
,041018_1,,0.0,,,time0_ctrl,H23
,041018_1,,0.0,,,time0_ctrl,H24
,041018_1,,0.0,,,time0_ctrl,I01
,041018_1,,0.0,,,time0_ctrl,I02
,041018_1,CL_2,0.0,,,time0_ctrl,I03
,041018_1,CL_2,0.0,,,time0_ctrl,I04
,041018_1,CL_2,0.0,,,time0_ctrl,I05
,041018_1,CL_2,0.0,,,time0_ctrl,I06
,041018_1,CL_2,0.0,,,time0_ctrl,I07
,041018_1,CL_2,0.0,,,time0_ctrl,I08
,041018_1,CL_2,0.0,,,time0_ctrl,I09
,041018_1,CL_2,0.0,,,time0_ctrl,I10
,041018_1,CL_2,0.0,,,time0_ctrl,I11
,041018_1,CL_2,0.0,,,time0_ctrl,I12
,041018_1,CL_2,0.0,,,time0_ctrl,I13
,041018_1,CL_2,0.0,,,time0_ctrl,I14
,041018_1,CL_2,0.0,,,time0_ctrl,I15
,041018_1,CL_2,0.0,,,time0_ctrl,I16
,041018_1,CL_2,0.0,,,time0_ctrl,I17
,041018_1,CL_2,0.0,,,time0_ctrl,I18
,041018_1,CL_2,0.0,,,time0_ctrl,I19
,041018_1,CL_2,0.0,,,time0_ctrl,I20
,041018_1,CL_2,0.0,,,time0_ctrl,I21
,041018_1,CL_2,0.0,,,time0_ctrl,I22
,041018_1,,0.0,,,time0_ctrl,I23
,041018_1,,0.0,,,time0_ctrl,I24
,041018_1,,0.0,,,time0_ctrl,J01
,041018_1,,0.0,,,time0_ctrl,J02
,041018_1,CL_2,0.0,,,time0_ctrl,J03
,041018_1,CL_2,0.0,,,time0_ctrl,J04
,041018_1,CL_2,0.0,,,time0_ctrl,J05
,041018_1,CL_2,0.0,,,time0_ctrl,J06
,041018_1,CL_2,0.0,,,time0_ctrl,J07
,041018_1,CL_2,0.0,,,time0_ctrl,J08
,041018_1,CL_2,0.0,,,time0_ctrl,J09
,041018_1,CL_2,0.0,,,time0_ctrl,J10
,041018_1,CL_2,0.0,,,time0_ctrl,J11
,041018_1,CL_2,0.0,,,time0_ctrl,J12
,041018_1,CL_2,0.0,,,time0_ctrl,J13
,041018_1,CL_2,0.0,,,time0_ctrl,J14
,041018_1,CL_2,0.0,,,time0_ctrl,J15
,041018_1,CL_2,0.0,,,time0_ctrl,J16
,041018_1,CL_2,0.0,,,time0_ctrl,J17
,041018_1,CL_2,0.0,,,time0_ctrl,J18
,041018_1,CL_2,0.0,,,time0_ctrl,J19
,041018_1,CL_2,0.0,,,time0_ctrl,J20
,041018_1,CL_2,0.0,,,time0_ctrl,J21
,041018_1,CL_2,0.0,,,time0_ctrl,J22
,041018_1,,0.0,,,time0_ctrl,J23
,041018_1,,0.0,,,time0_ctrl,J24
,041018_1,,0.0,,,time0_ctrl,K01
,041018_1,,0.0,,,time0_ctrl,K02
,041018_1,CL_2,0.0,,,time0_ctrl,K03
,041018_1,CL_2,0.0,,,time0_ctrl,K04
,041018_1,CL_2,0.0,,,time0_ctrl,K05
,041018_1,CL_2,0.0,,,time0_ctrl,K06
,041018_1,CL_2,0.0,,,time0_ctrl,K07
,041018_1,CL_2,0.0,,,time0_ctrl,K08
,041018_1,CL_2,0.0,,,time0_ctrl,K09
,041018_1,CL_2,0.0,,,time0_ctrl,K10
,041018_1,CL_2,0.0,,,time0_ctrl,K11
,041018_1,CL_2,0.0,,,time0_ctrl,K12
,041018_1,CL_2,0.0,,,time0_ctrl,K13
,041018_1,CL_2,0.0,,,time0_ctrl,K14
,041018_1,CL_2,0.0,,,time0_ctrl,K15
,041018_1,CL_2,0.0,,,time0_ctrl,K16
,041018_1,CL_2,0.0,,,time0_ctrl,K17
,041018_1,CL_2,0.0,,,time0_ctrl,K18
,041018_1,CL_2,0.0,,,time0_ctrl,K19
,041018_1,CL_2,0.0,,,time0_ctrl,K20
,041018_1,CL_2,0.0,,,time0_ctrl,K21
,041018_1,CL_2,0.0,,,time0_ctrl,K22
,041018_1,,0.0,,,time0_ctrl,K23
,041018_1,,0.0,,,time0_ctrl,K24
,041018_1,,0.0,,,time0_ctrl,L01
,041018_1,,0.0,,,time0_ctrl,L02
,041018_1,CL_2,0.0,,,time0_ctrl,L03
,041018_1,CL_2,0.0,,,time0_ctrl,L04
,041018_1,CL_2,0.0,,,time0_ctrl,L05
,041018_1,CL_2,0.0,,,time0_ctrl,L06
,041018_1,CL_2,0.0,,,time0_ctrl,L07
,041018_1,CL_2,0.0,,,time0_ctrl,L08
,041018_1,CL_2,0.0,,,time0_ctrl,L09
,041018_1,CL_2,0.0,,,time0_ctrl,L10
,041018_1,CL_2,0.0,,,time0_ctrl,L11
,041018_1,CL_2,0.0,,,time0_ctrl,L12
,041018_1,CL_2,0.0,,,time0_ctrl,L13
,041018_1,CL_2,0.0,,,time0_ctrl,L14
,041018_1,CL_2,0.0,,,time0_ctrl,L15
,041018_1,CL_2,0.0,,,time0_ctrl,L16
,041018_1,CL_2,0.0,,,time0_ctrl,L17
,041018_1,CL_2,0.0,,,time0_ctrl,L18
,041018_1,CL_2,0.0,,,time0_ctrl,L19
,041018_1,CL_2,0.0,,,time0_ctrl,L20
,041018_1,CL_2,0.0,,,time0_ctrl,L21
,041018_1,CL_2,0.0,,,time0_ctrl,L22
,041018_1,,0.0,,,time0_ctrl,L23
,041018_1,,0.0,,,time0_ctrl,L24
,041018_1,,0.0,,,time0_ctrl,M01
,041018_1,,0.0,,,time0_ctrl,M02
,041018_1,CL_2,0.0,,,time0_ctrl,M03
,041018_1,CL_2,0.0,,,time0_ctrl,M04
,041018_1,CL_2,0.0,,,time0_ctrl,M05
,041018_1,CL_2,0.0,,,time0_ctrl,M06
,041018_1,CL_2,0.0,,,time0_ctrl,M07
,041018_1,CL_2,0.0,,,time0_ctrl,M08
,041018_1,CL_2,0.0,,,time0_ctrl,M09
,041018_1,CL_2,0.0,,,time0_ctrl,M10
,041018_1,CL_2,0.0,,,time0_ctrl,M11
,041018_1,CL_2,0.0,,,time0_ctrl,M12
,041018_1,CL_2,0.0,,,time0_ctrl,M13
,041018_1,CL_2,0.0,,,time0_ctrl,M14
,041018_1,CL_2,0.0,,,time0_ctrl,M15
,041018_1,CL_2,0.0,,,time0_ctrl,M16
,041018_1,CL_2,0.0,,,time0_ctrl,M17
,041018_1,CL_2,0.0,,,time0_ctrl,M18
,041018_1,CL_2,0.0,,,time0_ctrl,M19
,041018_1,CL_2,0.0,,,time0_ctrl,M20
,041018_1,CL_2,0.0,,,time0_ctrl,M21
,041018_1,CL_2,0.0,,,time0_ctrl,M22
,041018_1,,0.0,,,time0_ctrl,M23
,041018_1,,0.0,,,time0_ctrl,M24
,041018_1,,0.0,,,time0_ctrl,N01
,041018_1,,0.0,,,time0_ctrl,N02
,041018_1,CL_2,0.0,,,time0_ctrl,N03
,041018_1,CL_2,0.0,,,time0_ctrl,N04
,041018_1,CL_2,0.0,,,time0_ctrl,N05
,041018_1,CL_2,0.0,,,time0_ctrl,N06
,041018_1,CL_2,0.0,,,time0_ctrl,N07
,041018_1,CL_2,0.0,,,time0_ctrl,N08
,041018_1,CL_2,0.0,,,time0_ctrl,N09
,041018_1,CL_2,0.0,,,time0_ctrl,N10
,041018_1,CL_2,0.0,,,time0_ctrl,N11
,041018_1,CL_2,0.0,,,time0_ctrl,N12
,041018_1,CL_2,0.0,,,time0_ctrl,N13
,041018_1,CL_2,0.0,,,time0_ctrl,N14
,041018_1,CL_2,0.0,,,time0_ctrl,N15
,041018_1,CL_2,0.0,,,time0_ctrl,N16
,041018_1,CL_2,0.0,,,time0_ctrl,N17
,041018_1,CL_2,0.0,,,time0_ctrl,N18
,041018_1,CL_2,0.0,,,time0_ctrl,N19
,041018_1,CL_2,0.0,,,time0_ctrl,N20
,041018_1,CL_2,0.0,,,time0_ctrl,N21
,041018_1,CL_2,0.0,,,time0_ctrl,N22
,041018_1,,0.0,,,time0_ctrl,N23
,041018_1,,0.0,,,time0_ctrl,N24
,041018_1,,0.0,,,time0_ctrl,O01
,041018_1,,0.0,,,time0_ctrl,O02
,041018_1,,0.0,,,time0_ctrl,O03
,041018_1,,0.0,,,time0_ctrl,O04
,041018_1,,0.0,,,time0_ctrl,O05
,041018_1,,0.0,,,time0_ctrl,O06
,041018_1,,0.0,,,time0_ctrl,O07
,041018_1,,0.0,,,time0_ctrl,O08
,041018_1,,0.0,,,time0_ctrl,O09
,041018_1,,0.0,,,time0_ctrl,O10
,041018_1,,0.0,,,time0_ctrl,O11
,041018_1,,0.0,,,time0_ctrl,O12
,041018_1,,0.0,,,time0_ctrl,O13
,041018_1,,0.0,,,time0_ctrl,O14
,041018_1,,0.0,,,time0_ctrl,O15
,041018_1,,0.0,,,time0_ctrl,O16
,041018_1,,0.0,,,time0_ctrl,O17
,041018_1,,0.0,,,time0_ctrl,O18
,041018_1,,0.0,,,time0_ctrl,O19
,041018_1,,0.0,,,time0_ctrl,O20
,041018_1,,0.0,,,time0_ctrl,O21
,041018_1,,0.0,,,time0_ctrl,O22
,041018_1,,0.0,,,time0_ctrl,O23
,041018_1,,0.0,,,time0_ctrl,O24
,041018_1,,0.0,,,time0_ctrl,P01
,041018_1,,0.0,,,time0_ctrl,P02
,041018_1,,0.0,,,time0_ctrl,P03
,041018_1,,0.0,,,time0_ctrl,P04
,041018_1,,0.0,,,time0_ctrl,P05
,041018_1,,0.0,,,time0_ctrl,P06
,041018_1,,0.0,,,time0_ctrl,P07
,041018_1,,0.0,,,time0_ctrl,P08
,041018_1,,0.0,,,time0_ctrl,P09
,041018_1,,0.0,,,time0_ctrl,P10
,041018_1,,0.0,,,time0_ctrl,P11
,041018_1,,0.0,,,time0_ctrl,P12
,041018_1,,0.0,,,time0_ctrl,P13
,041018_1,,0.0,,,time0_ctrl,P14
,041018_1,,0.0,,,time0_ctrl,P15
,041018_1,,0.0,,,time0_ctrl,P16
,041018_1,,0.0,,,time0_ctrl,P17
,041018_1,,0.0,,,time0_ctrl,P18
,041018_1,,0.0,,,time0_ctrl,P19
,041018_1,,0.0,,,time0_ctrl,P20
,041018_1,,0.0,,,time0_ctrl,P21
,041018_1,,0.0,,,time0_ctrl,P22
,041018_1,,0.0,,,time0_ctrl,P23
,041018_1,,0.0,,,time0_ctrl,P24
,041018_2,,0.0,,,72,A01
,041018_2,,0.0,,,72,A02
,041018_2,,0.0,,,72,A03
,041018_2,,0.0,,,72,A04
,041018_2,,0.0,,,72,A05
,041018_2,,0.0,,,72,A06
,041018_2,,0.0,,,72,A07
,041018_2,,0.0,,,72,A08
,041018_2,,0.0,,,72,A09
,041018_2,,0.0,,,72,A10
,041018_2,,0.0,,,72,A11
,041018_2,,0.0,,,72,A12
,041018_2,,0.0,,,72,A13
,041018_2,,0.0,,,72,A14
,041018_2,,0.0,,,72,A15
,041018_2,,0.0,,,72,A16
,041018_2,,0.0,,,72,A17
,041018_2,,0.0,,,72,A18
,041018_2,,0.0,,,72,A19
,041018_2,,0.0,,,72,A20
,041018_2,,0.0,,,72,A21
,041018_2,,0.0,,,72,A22
,041018_2,,0.0,,,72,A23
,041018_2,,0.0,,,72,A24
,041018_2,,0.0,,,72,B01
,041018_2,,0.0,,,72,B02
,041018_2,,0.0,,,72,B03
,041018_2,,0.0,,,72,B04
,041018_2,,0.0,,,72,B05
,041018_2,,0.0,,,72,B06
,041018_2,,0.0,,,72,B07
,041018_2,,0.0,,,72,B08
,041018_2,,0.0,,,72,B09
,041018_2,,0.0,,,72,B10
,041018_2,,0.0,,,72,B11
,041018_2,,0.0,,,72,B12
,041018_2,,0.0,,,72,B13
,041018_2,,0.0,,,72,B14
,041018_2,,0.0,,,72,B15
,041018_2,,0.0,,,72,B16
,041018_2,,0.0,,,72,B17
,041018_2,,0.0,,,72,B18
,041018_2,,0.0,,,72,B19
,041018_2,,0.0,,,72,B20
,041018_2,,0.0,,,72,B21
,041018_2,,0.0,,,72,B22
,041018_2,,0.0,,,72,B23
,041018_2,,0.0,,,72,B24
,041018_2,,0.0,,,72,C01
,041018_2,,0.0,,,72,C02
Drug_5,041018_2,CL_1,1.0,Drug_5_10,treatment,72,C03
DMSO,041018_2,CL_1,0.0,DMSO,negative_control,72,C04
Drug_1,041018_2,CL_1,3.1623,Drug_1_12,treatment,72,C05
Drug_5,041018_2,CL_1,1.0,Drug_5_2,treatment,72,C06
Drug_4,041018_2,CL_1,1.0,Drug_4_2,treatment,72,C07
DMSO,041018_2,CL_1,0.0,DMSO,negative_control,72,C08
Drug_6,041018_2,CL_1,0.0032,Drug_6_16,treatment,72,C09
Drug_5,041018_2,CL_1,0.0032,Drug_5_16,treatment,72,C10
Drug_5,041018_2,CL_1,0.001,Drug_5_8,treatment,72,C11
DMSO,041018_2,CL_1,0.0,DMSO,negative_control,72,C12
Drug_2,041018_2,CL_1,0.0032,Drug_2_16,treatment,72,C13
Drug_6,041018_2,CL_1,0.3162,Drug_6_9,treatment,72,C14
DMSO,041018_2,CL_1,0.0,DMSO,negative_control,72,C15
Drug_6,041018_2,CL_1,10.0,Drug_6_0,treatment,72,C16
Drug_6,041018_2,CL_1,0.01,Drug_6_6,treatment,72,C17
Drug_4,041018_2,CL_1,0.1,Drug_4_4,treatment,72,C18
DMSO,041018_2,CL_1,0.0,DMSO,negative_control,72,C19
Drug_2,041018_2,CL_1,0.3162,Drug_2_3,treatment,72,C20
Drug_6,041018_2,CL_1,0.1,Drug_6_11,treatment,72,C21
Drug_3,041018_2,CL_1,0.3162,Drug_3_3,treatment,72,C22
,041018_2,,0.0,,,72,C23
,041018_2,,0.0,,,72,C24
,041018_2,,0.0,,,72,D01
,041018_2,,0.0,,,72,D02
Drug_6,041018_2,CL_1,0.0316,Drug_6_13,treatment,72,D03
Drug_5,041018_2,CL_1,10.0,Drug_5_0,treatment,72,D04
Drug_5,041018_2,CL_1,0.0316,Drug_5_13,treatment,72,D05
Drug_3,041018_2,CL_1,0.0032,Drug_3_16,treatment,72,D06
Drug_4,041018_2,CL_1,0.0316,Drug_4_13,treatment,72,D07
Drug_6,041018_2,CL_1,0.01,Drug_6_15,treatment,72,D08
Drug_4,041018_2,CL_1,0.1,Drug_4_11,treatment,72,D09
Drug_3,041018_2,CL_1,0.0316,Drug_3_5,treatment,72,D10
Drug_6,041018_2,CL_1,0.001,Drug_6_8,treatment,72,D11
Drug_6,041018_2,CL_1,0.0032,Drug_6_7,treatment,72,D12
Drug_5,041018_2,CL_1,0.1,Drug_5_4,treatment,72,D13
Drug_1,041018_2,CL_1,0.01,Drug_1_6,treatment,72,D14
Drug_3,041018_2,CL_1,10.0,Drug_3_0,treatment,72,D15
Drug_2,041018_2,CL_1,3.1623,Drug_2_12,treatment,72,D16
Drug_3,041018_2,CL_1,0.001,Drug_3_17,treatment,72,D17
Drug_2,041018_2,CL_1,0.001,Drug_2_8,treatment,72,D18
Drug_3,041018_2,CL_1,0.01,Drug_3_6,treatment,72,D19
DMSO,041018_2,CL_1,0.0,DMSO,negative_control,72,D20
Drug_3,041018_2,CL_1,1.0,Drug_3_2,treatment,72,D21
Drug_3,041018_2,CL_1,0.001,Drug_3_8,treatment,72,D22
,041018_2,,0.0,,,72,D23
,041018_2,,0.0,,,72,D24
,041018_2,,0.0,,,72,E01
,041018_2,,0.0,,,72,E02
Drug_3,041018_2,CL_1,3.1623,Drug_3_12,treatment,72,E03
Drug_4,041018_2,CL_1,0.01,Drug_4_6,treatment,72,E04
Drug_2,041018_2,CL_1,0.0316,Drug_2_13,treatment,72,E05
Drug_4,041018_2,CL_1,3.1623,Drug_4_12,treatment,72,E06
Drug_2,041018_2,CL_1,0.3162,Drug_2_9,treatment,72,E07
Drug_4,041018_2,CL_1,0.001,Drug_4_8,treatment,72,E08
Drug_1,041018_2,CL_1,0.0316,Drug_1_5,treatment,72,E09
Drug_5,041018_2,CL_1,0.01,Drug_5_6,treatment,72,E10
Drug_1,041018_2,CL_1,0.001,Drug_1_8,treatment,72,E11
Drug_4,041018_2,CL_1,0.001,Drug_4_17,treatment,72,E12
Drug_6,041018_2,CL_1,10.0,Drug_6_14,treatment,72,E13
Drug_4,041018_2,CL_1,0.0032,Drug_4_7,treatment,72,E14
Drug_4,041018_2,CL_1,1.0,Drug_4_10,treatment,72,E15
Drug_2,041018_2,CL_1,0.001,Drug_2_17,treatment,72,E16
Drug_1,041018_2,CL_1,3.1623,Drug_1_1,treatment,72,E17
Drug_3,041018_2,CL_1,0.0316,Drug_3_13,treatment,72,E18
Drug_1,041018_2,CL_1,0.01,Drug_1_15,treatment,72,E19
Drug_5,041018_2,CL_1,3.1623,Drug_5_12,treatment,72,E20
Drug_2,041018_2,CL_1,10.0,Drug_2_14,treatment,72,E21
Drug_1,041018_2,CL_1,1.0,Drug_1_2,treatment,72,E22
,041018_2,,0.0,,,72,E23
,041018_2,,0.0,,,72,E24
,041018_2,,0.0,,,72,F01
,041018_2,,0.0,,,72,F02
Drug_5,041018_2,CL_1,0.3162,Drug_5_9,treatment,72,F03
Drug_5,041018_2,CL_1,10.0,Drug_5_14,treatment,72,F04
Drug_2,041018_2,CL_1,3.1623,Drug_2_1,treatment,72,F05
Drug_5,041018_2,CL_1,0.01,Drug_5_15,treatment,72,F06
DMSO,041018_2,CL_1,0.0,DMSO,negative_control,72,F07
Drug_3,041018_2,CL_1,10.0,Drug_3_14,treatment,72,F08
Drug_2,041018_2,CL_1,0.01,Drug_2_15,treatment,72,F09
Drug_2,041018_2,CL_1,10.0,Drug_2_0,treatment,72,F10
Drug_6,041018_2,CL_1,0.1,Drug_6_4,treatment,72,F11
Drug_3,041018_2,CL_1,0.3162,Drug_3_9,treatment,72,F12
Drug_5,041018_2,CL_1,3.1623,Drug_5_1,treatment,72,F13
